lat,long,site
47.53,-80.63,68048
47.53,-82.39,68292
47.51,-96.63,50043
47.5,-110.89,53018
47.49,-111.26,53017
47.49,-107.31,53021
47.48,-98.24,64009
47.47,-79.71,68047
47.46,-104.15,53024
47.45,-72.82,76136
47.45,-121.75,89054
47.44,-96.58,50077
47.4,-66.51,56009
47.4,-61.9,76070
47.34,-93.61,50037
47.34,-71.04,76537
47.34,-124.29,89009
47.33,-70.08,76040
47.31,-69.14,44060
47.3,-112.41,53016
47.29,-115.1,53013
47.27,-100.55,64019
47.25,-115.81,33003
47.25,-116.02,33202
47.25,-69.37,44155
47.24,-120.69,89055
47.23,-103.32,64032
47.22,-121.01,89035
47.2,-79.36,76125
47.19,-75.55,76033
47.18,-113.94,53015
47.17,-117.37,89058
47.16,-65.17,56015
47.16,-98.48,64010
47.13,-123.09,89010
47.13,-118.16,89057
47.13,-118.68,89076
47.11,-88.34,49004
47.09,-55.73,57006
47.08,-67.54,56105
47.08,-99.05,64012
47.08,-119.25,89014
47.07,-117.73,89039
47.06,-91.8,50034
47.06,-92.98,50035
47.06,-99.62,64011
47.03,-114.39,53064
47.01,-60.52,65002
46.99,-64.83,56013
46.97,-119.34,89063
46.95,-123.44,89041
46.95,-120.56,89044
46.93,-55.53,57002
46.92,-96.61,50029
46.91,-114.46,53025
46.91,-119.36,89145
46.9,-83.41,68143
46.88,-71.07,76121
46.87,-89.31,49001
46.82,-118.65,89164
46.8,-99.46,64005
46.8,-122.41,89079
46.79,-90.94,91005
46.77,-101.92,64037
46.76,-119.04,89182
46.74,-95.47,50028
46.74,-121.91,89061
46.73,-64.96,56029
46.73,-103.98,64035
46.73,-70.02,76324
46.72,-113.66,53026
46.72,-98.79,64103
46.72,-80.3,68244
46.72,-122.79,89042
46.71,-69.19,44058
46.7,-92.63,50022
46.67,-85.74,49023
46.66,-89.55,49002
46.66,-71.56,76021
46.66,-120.48,89081
46.63,-114.54,33006
46.63,-121.39,89019
46.63,-91.95,91301
46.62,-112.49,53027
46.6,-100.1,64043
46.59,-92.74,50067
46.57,-87.84,49011
46.57,-75.18,76213
46.57,-71.62,76321
46.56,-73.81,76417
46.55,-75.36,76113
46.54,-123.46,89078
46.52,-91.42,91002
46.51,-70.93,76023
46.49,-105.08,53034
46.48,-97.01,64002
46.46,-67.8,44052
46.46,-117.58,89065
46.45,-116.55,33004
46.44,-116.83,33204
46.44,-82.31,68049
46.42,-118.82,89022
46.41,-96.75,64027
46.4,-66.93,56021
46.4,-121.55,89043
46.39,-93.09,50068
46.38,-75.91,76314
46.37,-94.1,50069
46.37,-72.27,76120
46.36,-93.6,50024
46.36,-80.41,68245
46.36,-76.02,76012
46.35,-86.38,49014
46.34,-86.25,49015
46.34,-98.68,64004
46.34,-117.05,89023
46.34,-90.15,91007
46.33,-84.79,49040
46.32,-110.05,53029
46.32,-90.9,91302
46.31,-83.55,68142
46.3,-87.13,49009
46.3,-91.09,91004
46.28,-69.93,44059
46.28,-100.79,64120
46.28,-83.21,68144
46.27,-79.09,68039
46.27,-70.53,76124
46.26,-76.29,76003
46.26,-124.07,89040
46.23,-88.73,49008
46.23,-77.7,76127
46.23,-118.36,89046
46.21,-84.36,49041
46.17,-89.6,91008
46.16,-72.39,76019
46.15,-88.37,49005
46.15,-97.67,64001
46.14,-85.38,49025
46.14,-99.48,64006
46.12,-95.86,50070
46.12,-111.91,53028
46.11,-104.49,53035
46.1,-68.9,44050
46.1,-109.66,53030
46.1,-102.06,64036
46.09,-78.88,68045
46.08,-88.15,49007
46.08,-121.81,89080
46.06,-91.82,91003
46.04,-73.88,76018
46.04,-71.07,76022
46.04,-89.25,91303
46.03,-75.57,76014
46.02,-123.36,69142
46.01,-66.18,56022
45.99,-77.41,68226
45.98,-64.04,65022
45.96,-92.49,91011
45.94,-117.45,69207
45.94,-72.56,76008
45.93,-98.82,81020
45.92,-89.15,91024
45.91,-111.76,53038
45.9,-69.03,44134
45.89,-81.96,68037
45.88,-116.11,33007
45.87,-91.23,91015
45.86,-69.92,44035
45.86,-64.29,56031
45.85,-113.95,53036
45.85,-99.26,81023
45.84,-97.33,81018
45.84,-91.3,91305
45.84,-90.62,91306
45.83,-102.94,81037
45.83,-121.35,89025
45.82,-106.42,53043
45.82,-82.16,68296
45.79,-74.68,76306
45.78,-74.09,76006
45.76,-65.04,56042
45.76,-72.3,76109
45.76,-89.5,91023
45.73,-97.71,81019
45.72,-109.54,53040
45.72,-64.91,56032
45.72,-79.43,68452
45.72,-73.4,76005
45.72,-71.47,76010
45.71,-65.94,56044
45.71,-63.55,65018
45.71,-91.19,91016
45.7,-75.54,76002
45.69,-79.39,68228
45.69,-89.12,91307
45.68,-62.11,65014
45.68,-122.44,89024
45.67,-118.75,69046
45.65,-96.13,50066
45.65,-63.91,65020
45.65,-117.27,69007
45.65,-90.18,91019
45.65,-88.82,91308
45.64,-87.44,49012
45.63,-65.79,56041
45.61,-68.53,44041
45.6,-93.88,50015
45.59,-95.21,50065
45.59,-92.23,91012
45.58,-76.65,76201
45.57,-110.78,53039
45.57,-67.34,56034
45.56,-108.78,53041
45.56,-76.91,68025
45.55,-76.11,76001
45.54,-96.09,50021
45.54,-103.03,81036
45.53,-113.07,53087
45.53,-91.88,91013
45.52,-80.27,68238
45.5,-77.74,68026
45.5,-74.47,68223
45.5,-88.01,91028
45.47,-76.61,68083
45.47,-76.11,68225
45.47,-101.42,81039
45.46,-88.77,91026
45.45,-79.59,68328
45.44,-87.87,91029
45.43,-107.72,53042
45.43,-71.86,76310
45.42,-63.7,65019
45.42,-74.17,76007
45.42,-96.71,81017
45.41,-69.88,44304
45.4,-120.02,69204
45.38,-116.03,33207
45.38,-61.82,65009
45.38,-70.86,76090
45.37,-112.64,53137
45.37,-92.66,91010
45.37,-88.62,91027
45.36,-86.93,91030
45.35,-100.61,81025
45.34,-115.94,33208
45.33,-67.42,56033
45.32,-79.01,68127
45.32,-90.08,91020
45.31,-91.47,91014
45.31,-89.63,91022
45.3,-75.47,76302
45.3,-72.38,76309
45.29,-63.44,65117
45.29,-77.47,68050
45.29,-122.7,69202
45.29,-70.9,76190
45.26,-84.98,49143
45.26,-62.21,65013
45.25,-94.82,50064
45.25,-122.25,69041
45.24,-72.86,76009
45.23,-70.19,44031
45.23,-81.71,68297
45.23,-75.92,68324
45.23,-103.78,81031
45.22,-123.02,69040
45.22,-121.37,69203
45.21,-79.03,68252
45.2,-79.79,68028
45.18,-66.77,56040
45.17,-74.96,68023
45.17,-75.54,68224
45.16,-83.49,49059
45.16,-94.19,50017
45.16,-95.65,50019
45.15,-61.58,65011
45.15,-74.71,68323
45.15,-98.2,81121
45.14,-102.55,81035
45.14,-90.79,91017
45.12,-100.55,81024
45.1,-93.47,50016
45.08,-66.65,56038
45.08,-73.33,76004
45.08,-90.53,91118
45.07,-114.01,33209
45.07,-70.21,44032
45.07,-78.09,68327
45.07,-77.2,68350
45.07,-121.92,69003
45.05,-69.03,44033
45.04,-78.5,68251
45.03,-113.56,33010
45.02,-68.91,44042
45.02,-92.74,91009
45.01,-99.85,81022
45,-123.4,69233
44.99,-71.37,58022
44.99,-79.57,68218
44.98,-69.43,44019
44.97,-93.47,50009
44.97,-122.95,69237
44.97,-100.12,81034
44.97,-92.63,91309
44.96,-115.49,33212
44.96,-95.45,50013
44.96,-104.36,92148
44.95,-107.27,92040
44.94,-85.12,49126
44.94,-75.58,68011
44.93,-62.57,65027
44.93,-109.72,92032
44.92,-70.95,44006
44.92,-91.12,91035
44.92,-88.93,91313
44.91,-110.41,92001
44.9,-97.94,81011
44.89,-70.44,44010
44.88,-77.54,68215
44.88,-90.31,91311
44.88,-110.73,92030
44.87,-88.17,91045
44.86,-71.3,58021
44.85,-63.54,65028
44.84,-76.36,68113
44.84,-109.14,92033
44.83,-68.96,44022
44.83,-68.25,44026
44.83,-78.11,68051
44.81,-84.96,49146
44.81,-90.35,91036
44.78,-85.8,49230
44.78,-81.12,68298
44.78,-106.71,92005
44.77,-75.97,68211
44.77,-89.24,91042
44.76,-73.27,87023
44.75,-70.84,44011
44.75,-65.46,65033
44.75,-77.94,68217
44.74,-78.75,68316
44.73,-91.79,91310
44.72,-113.52,33014
44.72,-79.64,68018
44.72,-123.26,69033
44.71,-122.77,69034
44.69,-90.06,91039
44.68,-71.58,58020
44.68,-71.85,87012
44.66,-102.28,81040
44.66,-72.89,87019
44.65,-93.33,50008
44.65,-92.42,91031
44.65,-106.13,92044
44.64,-74.71,61103
44.62,-70.96,44007
44.62,-121.05,69211
44.61,-114.17,33013
44.61,-89.48,91041
44.61,-88.77,91047
44.6,-71.31,58019
44.59,-69.54,44120
44.59,-111.52,53047
44.59,-80.74,68020
44.58,-69.15,44021
44.58,-112.02,53046
44.58,-79.04,68319
44.58,-87.64,91049
44.56,-112.71,53097
44.56,-72.34,87018
44.55,-123.8,69009
44.55,-72.37,87017
44.53,-68.32,44024
44.53,-74.72,61102
44.53,-76.66,68312
44.53,-72.67,87120
44.52,-92.34,50058
44.52,-74.49,61199
44.52,-78.56,68317
44.52,-119.92,69213
44.52,-73.17,87022
44.51,-123.63,69309
44.51,-103.13,81028
44.51,-104.25,92150
44.5,-94.85,50060
44.5,-117.97,69015
44.5,-98.31,81013
44.49,-121.79,69147
44.48,-93.7,50059
44.47,-122.22,69010
44.46,-120.12,69212
44.46,-109.13,92002
44.45,-115.09,33012
44.45,-68.92,44308
44.44,-89.85,91040
44.43,-86.12,49017
44.43,-75.05,61097
44.43,-74.18,61100
44.43,-80.01,68220
44.43,-71.95,87011
44.42,-88.95,91044
44.42,-90.73,91137
44.42,-104.42,92007
44.41,-116.03,33111
44.41,-119.11,69048
44.4,-91.67,91033
44.4,-107.98,92004
44.39,-121.52,69238
44.38,-100.49,81033
44.35,-71.38,58017
44.35,-77,68016
44.34,-65.27,65036
44.34,-77,68015
44.34,-77.39,68214
44.34,-120.56,69136
44.34,-73.07,87121
44.34,-88.04,91322
44.33,-70.29,44013
44.33,-72.4,87015
44.32,-69.86,44115
44.32,-81.23,68022
44.31,-72.62,87014
44.31,-106.93,92042
44.3,-94.3,50011
44.28,-85.13,49027
