,site,lat,long
51805,38019,39.06,-97.11
52142,38027,39.25,-95.53
52970,38310,38.68,-95.12
52084,38026,39.08,-95.56
72294,52067,39.39,-94.5
72573,52124,38.66,-94.1
51546,38013,38.85,-94.87
45813,34051,38.69,-89.53
45369,34041,39.48,-89.26
47929,34316,38.84,-89.39
46099,34056,38.7,-88.16
46999,34076,39.1,-88.02
46161,34057,38.67,-88.42
48739,35021,39.33,-87.37
45620,34048,39.31,-87.77
46219,34058,38.83,-87.74
49158,35037,38.91,-86.19
49834,35314,38.76,-86.54
48916,35026,39.26,-86.7
49897,35315,38.95,-85.16
49231,35038,38.66,-85.94
49366,35041,38.63,-85.74
89896,66086,38.66,-83.41
89358,66064,39.36,-83.86
90377,66161,39.49,-84.01
89558,66074,39.15,-82.91
89959,66087,38.88,-82.78
89448,66072,39.19,-82.67
89685,66076,39.23,-82.28
118619,90034,39.04,-81.55
89788,66082,39.27,-81.88
89739,66080,39.41,-81.35
117905,90016,38.71,-81.02
119017,90042,39.37,-80.86
118897,90039,39.04,-80.52
119444,90140,39.19,-80.09
118850,90038,39.41,-80.2
59576,46001,39.5,-79.15
119504,90149,38.96,-78.84
61664,46052,39.33,-79.31
119241,90048,39.18,-78.5
113279,88007,38.81,-78.56
113335,88008,38.81,-78.74
61916,46110,39.03,-77.01
60100,46013,39.51,-77.03
60008,46011,39.15,-77.09
60991,46036,39.26,-76.14
60380,46018,39.34,-76.81
61042,46037,39.1,-76.19
37467,21105,39.37,-75.63
37416,21010,38.74,-75.28
77446,59002,39.38,-75.34
30445,14160,39.56,-123.39
30960,14178,40.17,-123.6
31128,14182,39.68,-123.48
30103,14148,39.55,-122.06
31023,14179,40.02,-122.63
32597,14411,40.18,-122.85
25673,14078,39.78,-120.63
33286,14436,40.15,-120.54
31182,14185,39.56,-120.82
33162,14433,39.79,-120.13
75655,55007,40.26,-119.77
75989,55045,39.94,-119.38
76088,55143,40.17,-115.49
75727,55012,40.32,-114.8
75702,55011,40.09,-115.63
110232,85011,39.9,-111.95
111564,85310,39.66,-112.06
111288,85174,40.04,-111.28
110262,85012,39.59,-110.56
111341,85206,40.24,-111.15
111639,85312,39.67,-110.62
